strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,4.0,0.9,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,4.0,0.9,107,298,2.785,0,reactions,False,108,301,1.37
hub_batching,4.5,0.3,118,299,2.5339,168618,reactions,False,119,302,1.11
best_candidate,4.5,0.3,100,299,2.99,0,reactions,False,101,302,0.57
hub_batching,4.5,0.35,142,300,2.1127,122566,reactions,False,142,300,0.94
best_candidate,4.5,0.35,100,300,3.0,0,reactions,False,100,300,1.15
hub_batching,4.5,0.4,167,300,1.7964,90055,reactions,False,167,300,0.81
best_candidate,4.5,0.4,100,300,3.0,0,reactions,False,100,300,2.84
hub_batching,4.5,0.45,197,300,1.5228,68401,reactions,False,197,300,0.73
best_candidate,4.5,0.45,100,300,3.0,0,reactions,False,100,300,5.59
hub_batching,4.5,0.5,229,300,1.31,47115,reactions,False,229,300,0.66
best_candidate,4.5,0.5,100,298,2.98,0,reactions,False,101,301,5.65
hub_batching,4.5,0.55,267,300,1.1236,22688,reactions,False,267,300,0.4
best_candidate,4.5,0.55,102,298,2.9216,0,reactions,False,103,301,4.09
hub_batching,4.5,0.6,287,300,1.0453,9501,reactions,False,287,300,0.25
best_candidate,4.5,0.6,104,300,2.8846,0,reactions,False,104,300,3.0
hub_batching,4.5,0.65,295,300,1.0169,3903,reactions,False,295,300,0.14
best_candidate,4.5,0.65,106,298,2.8113,0,reactions,False,107,301,2.36
hub_batching,4.5,0.7,297,300,1.0101,2799,reactions,False,297,300,0.13
best_candidate,4.5,0.7,107,299,2.7944,0,reactions,False,108,302,1.93
hub_batching,4.5,0.75,298,300,1.0067,1104,reactions,False,298,300,0.14
best_candidate,4.5,0.75,108,299,2.7685,0,reactions,False,109,302,1.73
hub_batching,4.5,0.8,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,4.5,0.8,108,299,2.7685,0,reactions,False,109,302,1.54
hub_batching,4.5,0.85,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,4.5,0.85,107,300,2.8037,0,reactions,False,107,300,1.4
hub_batching,4.5,0.9,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,4.5,0.9,107,298,2.785,0,reactions,False,108,301,1.38
hub_batching,5.0,0.3,117,298,2.547,176257,reactions,False,118,301,3.28
best_candidate,5.0,0.3,100,299,2.99,0,reactions,False,101,302,0.45
hub_batching,5.0,0.35,138,298,2.1594,125622,reactions,False,139,301,0.77
