cell,arm,slice,class,named_reaction,parent,n_molecules,n_wells,n_multi_product_wells,n_distinct_reagent_sets,n_distinct_parents,n_distinct_templates,reward_min,reward_median,reward_max,first_step,last_step
scent_seh_seed44_par10,best_candidate,at100rxn,A,Suzuki coupling,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,1,1,0,1,1,1,8.309,8.309,8.309,13,13
scent_seh_seed44_par10,best_candidate,at100rxn,A,Direct acid -> amine (reductive),O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,1,0,1,1,1,8.305,8.305,8.305,14,14
scent_seh_seed44_par10,best_candidate,at100rxn,A,Triazole formation (alkyne + alkyl halide),C#Cc1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1,1,1,0,1,1,1,8.305,8.305,8.305,15,15
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),O=C(Nc1cc(-c2ccc3[nH]ccc3c2)n[nH]1)C1CNC1,1,1,0,1,1,1,8.303,8.303,8.303,16,16
scent_seh_seed44_par10,best_candidate,at100rxn,A,Suzuki coupling,OB(O)c1cccc(NCc2ccc3oc(C4CNC4)nc3c2)c1,1,1,0,1,1,1,8.298,8.298,8.298,17,17
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc4[nH]c(C5CCN5)nc4c3)nc2)c[nH]1,1,1,0,1,1,1,8.293,8.293,8.293,18,18
scent_seh_seed44_par10,best_candidate,at100rxn,A,Amide coupling,O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,1,1,0,1,1,1,8.287,8.287,8.287,19,19
scent_seh_seed44_par10,best_candidate,at100rxn,A,Suzuki coupling,OB(O)c1ccc2c(ccn2CC2CC2)c1,1,1,0,1,1,1,8.283,8.283,8.283,20,20
scent_seh_seed44_par10,best_candidate,at100rxn,A,Direct acid -> amine (reductive),O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1,1,1,0,1,1,1,8.28,8.28,8.28,21,21
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc(CO[C@H]4CN5CCC4CC5)cc3)cc2)c[nH]1,1,1,0,1,1,1,8.277,8.277,8.277,22,22
scent_seh_seed44_par10,best_candidate,at100rxn,A,Buchwald-Hartwig amination,O=C(NC1CC1)c1cccc(-c2nc3cc(Br)ccc3[nH]2)c1,1,1,0,1,1,1,8.277,8.277,8.277,23,23
scent_seh_seed44_par10,best_candidate,at100rxn,A,Amide coupling,Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12,1,1,0,1,1,1,8.276,8.276,8.276,24,24
scent_seh_seed44_par10,best_candidate,at100rxn,A,Direct acid -> amine (reductive),Nc1cccc(-c2cncc(-c3nnn(CC4CC4)n3)c2)c1,1,1,0,1,1,1,8.275,8.275,8.275,25,25
