template_id,line,yield,named_reaction,smarts
41,21,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
42,22,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
43,22,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
44,23,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][n:9]1"
45,23,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][n:9]1"
46,24,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][s:9]1"
47,24,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][s:9]1"
48,25,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][s:9]1"
49,25,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][s:9]1"
50,26,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][n:9]1"
51,26,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][n:9]1"
52,27,0.9,Sulfonamide formation (sulfonyl fluoride),"[#6&!$(C=[O,N]):10][Nh2:1].F-[S:4]([*:7])(=[O:5])=[O:6] >> [#6&!$(C=[O,N]):10][Nh:1]-[S:4]([*:7])(=[O:5])=[O:6]"
53,27,0.9,Sulfonamide formation (sulfonyl fluoride),"[#6&!$(C=[O,N]):10][Nh2:1].F-[S:4]([*:7])(=[O:5])=[O:6] >> [#6&!$(C=[O,N]):10][Nh:1]-[S:4]([*:7])(=[O:5])=[O:6]"
54,28,0.9,Sulfonamide formation (sulfonyl fluoride),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).F-[S:4]([*:7])(=[O:5])=[O:6] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[S:4]([*:7])(=[O:5])=[O:6]"
55,28,0.9,Sulfonamide formation (sulfonyl fluoride),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).F-[S:4]([*:7])(=[O:5])=[O:6] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[S:4]([*:7])(=[O:5])=[O:6]"
56,29,0.8,aza-Michael addition (enone),"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[#6:4]=O >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[#6:4]=O"
57,29,0.8,aza-Michael addition (enone),"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[#6:4]=O >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[#6:4]=O"
58,30,0.8,aza-Michael addition (enone),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[#6:4]=O >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[#6:4]=O"
59,30,0.8,aza-Michael addition (enone),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[#6:4]=O >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[#6:4]=O"
60,31,0.8,aza-Michael addition (vinyl sulfone),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[S:4](=O)(=O) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[S:4](=O)(=O)"
61,31,0.8,aza-Michael addition (vinyl sulfone),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[S:4](=O)(=O) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[S:4](=O)(=O)"
62,32,0.8,aza-Michael addition (vinyl sulfone),"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[S:4](=O)(=O) >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[S:4](=O)(=O)"
63,32,0.8,aza-Michael addition (vinyl sulfone),"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[S:4](=O)(=O) >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[S:4](=O)(=O)"
64,33,0.8,?,"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[C:4]#[N:8] >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[C:4]#[N:8]"
65,33,0.8,?,"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[C:4]#[N:8] >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[C:4]#[N:8]"
