template_id,steps,cum_coverage,named_reaction,single_reactant,smarts
9,124,0.9973,SNAr (activated aryl fluoride + amine),False,"[F]-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1.[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1"
41,113,0.9974,SNAr (halo-heteroarene + amine),False,"[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1.[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
128,100,0.9975,Urea formation (amine + amine),False,"[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20].[#6&!$(C=[O,N]):11]-[Nh:6]-[#6&!$(C=[O,N]):10] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[N:6](-[#6&!$(C=[O,N]):11])-[#6&!$(C=[O,N]):10]"
93,97,0.9977,Triazole formation (alkyne + alkyl halide),False,[#6:4]-[Ch2:5]-[Br].[#6:1]-[C:2]#[Ch:3] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
45,96,0.9978,SNAr (halo-heteroarene + amine),False,"[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1.[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][n:9]1"
101,95,0.9979,Triazole formation (alkyne + alkyl halide),False,[#6:4]-[Ch2:5]-[Cl].[#6:1]-[C:2]#[Ch:3] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
173,93,0.9981,?,False,[#6:7]-[Ch:6]=[O:5].[c]1[c][c](C)[c][c][c]1-[S](=[O])(=[O])-[C:2]-[N:3]=[C:4] >> [c:6]([#6:7])1[o:5][c:4][n:3][c:2]1
42,91,0.9982,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh2:1].[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
132,86,0.9983,Tetrazole formation (isothiocyanate),False,[Ch0:1](=[O:2])[C:3]-[Nh2:4].[#6:5]-[N:6]=[C:7]=S >> [Ch0:1](=[O:2])[C:3]-[Nh:4][c:7]1nnn[n:6]([#6:5])1
109,80,0.9984,Buchwald-Hartwig amination,False,"[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh2:1] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]"
