cum_reactions,n_reagents,named_reaction,parent,parent_input,reactions_added,reagents,reward,smiles,step,template_id
125,1,Reductive amination (aldehyde),O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,Fc1ccc2[nH]cc(CNC3CCC3)c2c1,0.7609,O=C(O)C1CCCN1CCCN(Cc1c[nH]c2ccc(F)cc12)C1CCC1,102,71
126,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,N#Cc1ccc(O)c(N)c1,0.7432,N#Cc1ccc(O)c(NCC2CCCN2CCC=O)c1,103,136
127,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,NCCc1c[nH]c2ccc(O)cc12,0.724,O=CCCN1CCCC1C1=NCCc2c1[nH]c1ccc(O)cc21,104,149
128,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,COc1ccccc1CCN,0.6528,COc1cccc2c1CCNC2CCN1CCCC1C(=O)O,105,145
129,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,C[C@@H](N)c1ccccc1,0.6445,CC(NCC1CCCN1CCC=O)c1ccccc1,106,136
130,1,Benzimidazole formation (N-substituted),O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.604,O=C(O)C1CCCN1CCc1nc2c(Br)cccc2n1Cc1c[nH]c2ccc(Br)cc12,107,189
131,1,Amide coupling,O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,NCCc1c[nH]c2ccccc12,0.5401,O=CCCN1CCCC1C(=O)NCCc1c[nH]c2ccccc12,108,76
132,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,O=CCCN1CCC[C@@H]1C(=O)O,1,Nc1cccc2cc[nH]c12,0.5335,O=CCCN1CCCC1CNc1cccc2cc[nH]c12,109,136
134,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,2,N#Cc1ccc2[nH]cc(CNc3ccc(Br)cc3)c2c1,0.997,CC(N)CN1CCCC(N(Cc2c[nH]c3ccc(C#N)cc23)c2ccc(Br)cc2)C1,110,75
135,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(O)[C@@H](NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,0.9836,CC(N)CN1CCCC(N(Cc2c[nH]c3ccc(Br)cc23)C(C(=O)O)c2ccccc2)C1,111,75
136,1,Urea formation (amine + amine),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.9778,CC(CN1CCCC(=O)C1)NC(=O)N(Cc1c[nH]c2ccc(F)cc12)c1ccc(Br)cc1N,112,127
137,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,NCCc1ccc(O)cc1,0.912,CC(N)CN1CCCC(NCCc2ccc(O)cc2)C1,113,73
138,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.897,CC(CN1CCCC(=O)C1)NCCCNCc1c[nH]c2ccc(F)cc12,114,137
139,1,Amide coupling,CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.8894,CC(CN1CCCC(=O)C1)NC(=O)C1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,115,77
140,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,NCCc1c[nH]c2ccccc12,0.8861,CC(N)CN1CCCC(NCCc2c[nH]c3ccccc23)C1,116,73
141,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.8854,CC(CN1CCCC(=O)C1)NC(CCl)c1ccc(F)cc1N1CCN(CCN)CC1,117,72
142,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.8526,CC(N)CN1CCCC(NCCN2CCN(c3cc(F)ccc3C(=O)CCl)CC2)C1,118,73
143,1,Buchwald-Hartwig amination,CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.8433,CC(CN1CCCC(=O)C1)Nc1ccc2c(CNCc3ccccc3)c[nH]c2c1,119,112
144,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.836,CC(N)CN1CCCC(Nc2c(Br)cccc2NCc2c[nH]c3ccc(Br)cc23)C1,120,73
145,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.8184,CC(CN1CCCC(=O)C1)NCC(N)Cc1c[nH]c2ccccc12,121,137
146,1,Amide coupling,CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(O)[C@@H](NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,0.8115,CC(CN1CCCC(=O)C1)NC(=O)C(NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,122,77
147,1,Reductive amination (aldehyde),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=Cc1c[nH]c2cc(Br)ccc12,0.8045,CC(CN1CCCC(=O)C1)NCc1c[nH]c2cc(Br)ccc12,123,68
148,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,Nc1ccc(C(=O)O)cc1Br,0.7422,CC(CN1CCCC(=O)C1)NCc1ccc(N)c(Br)c1,124,137
149,1,Urea formation (amine + amine),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,NCCc1c[nH]c2ccc(O)cc12,0.7346,CC(CN1CCCC(=O)C1)NC(=O)NCCc1c[nH]c2ccc(O)cc12,125,125
150,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(O)C1CCN1c1ccnc(F)c1,0.725,CC(CN1CCCC(=O)C1)NCC1CCN1c1ccnc(F)c1,126,137
151,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.7177,CC(CN1CCCC(=O)C1)NCC1Cc2ccccc2CN1,127,137
152,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,N#Cc1cccc(C(=O)CBr)c1,0.6867,CC(CN1CCCC(=O)C1)NC(CBr)c1cccc(C#N)c1,128,72
153,1,Reductive amination (aldehyde),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,COc1cc(C(F)(F)F)ccc1C=O,0.6524,COc1cc(C(F)(F)F)ccc1CNC(C)CN1CCCC(=O)C1,129,68
154,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,O=C(CCl)c1ccc(Cl)c(Cl)c1,0.643,CC(CN1CCCC(=O)C1)NC(CCl)c1ccc(Cl)c(Cl)c1,130,72
155,1,Buchwald-Hartwig amination,CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.6255,CC(CN1CCCC(=O)C1)Nc1ccc2[nH]cc(CNc3cccc(Br)c3N)c2c1,131,112
156,1,SNAr (activated aryl fluoride + amine),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.6202,CC(CN1CCCC(=O)C1)Nc1ccc(C(=O)CCl)c(N2CCN(CCN)CC2)c1,132,0
157,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,C[C@H](N)CN1CCCC(=O)C1,1,COc1ccccc1CN,0.5548,COc1ccccc1CNC1CCCN(CC(C)N)C1,133,73
160,1,Reductive amination (aldehyde),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,3,O=Cc1c[nH]c2ccc(Br)cc12,1.0,COc1ccccc1CCNCCN(Cc1c[nH]c2ccc(Br)cc12)C1CC1,134,70
161,1,Pictet-Spengler cyclisation,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1c[nH]c2ccc(Br)cc12,1.0,COc1cccc2c1CCN(CCNC1CC1)C2c1c[nH]c2ccc(Br)cc12,135,144
162,1,Reductive amination (aldehyde),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1c[nH]c2ccc(F)cc12,1.0,COc1ccccc1CCN(CCNC1CC1)Cc1c[nH]c2ccc(F)cc12,136,70
163,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(O)C1CCN1c1ccnc(F)c1,1.0,COc1ccccc1CCNCCN(CC1CCN1c1ccnc(F)c1)C1CC1,137,139
164,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,N[C@@H](Cc1ccc(O)cc1)C(=O)O,1.0,COc1ccccc1CCNCCN(CC(N)Cc1ccc(O)cc1)C1CC1,138,139
165,1,Reductive amination (ketone),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(CCl)c1ccc(Cl)c(Cl)c1,1.0,COc1ccccc1CCNCCN(C1CC1)C(CCl)c1ccc(Cl)c(Cl)c1,139,74
166,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Cc1cc(N(C)CC(=O)O)cnc1F,1.0,COc1ccccc1CCNCCN(CCN(C)c1cnc(F)c(C)c1)C1CC1,140,139
167,1,Reductive amination (ketone),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(CCl)c1ccc(F)cc1F,0.9963,COc1ccccc1CCN(CCNC1CC1)C(CCl)c1ccc(F)cc1F,141,74
168,1,Buchwald-Hartwig amination,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Nc1cc(Br)ccc1O,0.9938,COc1ccccc1CCNCCN(c1ccc(O)c(N)c1)C1CC1,142,114
169,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,C[C@@H](NCc1cccc(Br)c1)C(=O)O,0.988,COc1ccccc1CCN(CCNC1CC1)CC(C)NCc1cccc(Br)c1,143,139
170,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(O)c1cc(Br)cc(B(O)O)c1,0.9875,COc1ccccc1CCN(CCNC1CC1)Cc1cc(Br)cc(B(O)O)c1,144,139
171,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1cccc(C(=O)O)c1,0.9851,COc1ccccc1CCNCCN(Cc1cccc(C=O)c1)C1CC1,145,139
172,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.9826,COc1ccccc1CCNCCN(CC1Cc2ccccc2CN1)C1CC1,146,139
173,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(CCl)c1ccc(N2CC(C(=O)O)C2)cc1F,0.9766,COc1ccccc1CCNCCN(CC1CN(c2ccc(C(=O)CCl)c(F)c2)C1)C1CC1,147,139
174,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1ccccc1NCCC(=O)O,0.9757,COc1ccccc1CCNCCN(CCCNc1ccccc1C=O)C1CC1,148,139
175,1,Pictet-Spengler cyclisation,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1nc2ccccc2[nH]1,0.9666,COc1cccc2c1CCN(CCNC1CC1)C2c1nc2ccccc2[nH]1,149,144
176,1,Reductive amination (ketone),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,COc1cccc(C(C)=O)c1,0.9536,COc1cccc(C(C)N(CCNC2CC2)CCc2ccccc2OC)c1,150,74
177,1,SNAr (activated aryl fluoride + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.9521,COc1ccccc1CCN(CCNC1CC1)c1ccc(C(=O)CCl)c(N2CCN(CCN)CC2)c1,151,2
178,1,SNAr (activated aryl fluoride + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(O)c1ccc(F)c(F)c1F,0.9415,COc1ccccc1CCNCCN(c1c(C(=O)O)ccc(F)c1F)C1CC1,152,4
179,1,SNAr (halo-heteroarene + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Fc1ncccc1I,0.9312,COc1ccccc1CCNCCN(c1ncccc1I)C1CC1,153,32
180,1,Reductive amination (ketone),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,CC(=O)c1cccc(B(O)O)c1,0.9217,COc1ccccc1CCNCCN(C1CC1)C(C)c1cccc(B(O)O)c1,154,74
181,1,Buchwald-Hartwig amination,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Nc1cccc(Br)c1O,0.8844,COc1ccccc1CCN(CCNC1CC1)c1cccc(N)c1O,155,114
182,1,Amide coupling,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Nc1ccc(C(=O)O)cc1Br,0.8615,COc1ccccc1CCNCCN(C(=O)c1ccc(N)c(Br)c1)C1CC1,156,79
183,1,Pictet-Spengler cyclisation,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,CCC=O,0.8611,CCC1c2cccc(OC)c2CCN1CCNC1CC1,157,144
184,1,Urea formation (amine + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,NCCc1c[nH]c2ccc(O)cc12,0.8596,COc1ccccc1CCNCCN(C(=O)NCCc1c[nH]c2ccc(O)cc12)C1CC1,158,126
185,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.8529,COc1ccccc1CCNCCN(CC1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1)C1CC1,159,139
186,1,Urea formation (amine + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.8523,COc1ccccc1CCNCCN(C(=O)NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1)C1CC1,160,126
187,1,Reductive amination (ketone),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C1CNC1,0.8431,COc1ccccc1CCN(CCNC1CC1)C1CNC1,161,74
188,1,SNAr (activated aryl fluoride + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1ccc(F)c(C(F)(F)F)c1,0.826,COc1ccccc1CCNCCN(c1ccc(C=O)cc1C(F)(F)F)C1CC1,162,2
189,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C(O)c1ncccc1C(F)(F)F,0.8253,COc1ccccc1CCN(CCNC1CC1)Cc1ncccc1C(F)(F)F,163,139
190,1,Buchwald-Hartwig amination,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=Cc1c[nH]c2ccc(Br)cc12,0.8019,COc1ccccc1CCN(CCNC1CC1)c1ccc2[nH]cc(C=O)c2c1,164,114
191,1,Reductive amination (ketone),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,O=C1CNC1,0.7813,COc1ccccc1CCNCCN(C1CC1)C1CNC1,165,74
192,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,NCCc1ccccc1N[C@@H](CO)C(=O)O,0.7248,COc1ccccc1CCN(CCNC1CC1)CC(CO)Nc1ccccc1CCN,166,139
193,1,SNAr (halo-heteroarene + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Fc1ncc2[nH]ccc2n1,0.6973,COc1ccccc1CCNCCN(c1ncc2[nH]ccc2n1)C1CC1,167,40
194,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,0.6886,COc1ccccc1CCN(CCNC1CC1)CC(N)Cc1ccc([N+](=O)[O-])cc1,168,139
195,1,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,N[C@H](CNCC(=O)O)c1ccccc1,0.6485,COc1ccccc1CCN(CCNCC(N)c1ccccc1)CCNC1CC1,169,139
196,1,Amide coupling,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.6053,COc1ccccc1CCNCCN(C(=O)C(N)Cc1c[nH]c2ccccc12)C1CC1,170,79
197,1,Buchwald-Hartwig amination,COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.5891,COc1ccccc1CCNCCN(c1ccc2[nH]cc(CNc3cccc(Br)c3N)c2c1)C1CC1,171,114
198,1,Urea formation (amine + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Nc1cc(F)c(F)cc1O,0.5399,COc1ccccc1CCNCCN(C(=O)Nc1cc(F)c(F)cc1O)C1CC1,172,126
199,1,Urea formation (amine + amine),COc1ccccc1CCNCCNC1CC1,COc1ccccc1CCNCCNC1CC1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.5083,COc1ccccc1CCN(CCNC1CC1)C(=O)N(Cc1c[nH]c2ccc(Br)cc12)c1cccc(Br)c1N,173,129
201,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,2,NCCc1c[nH]c2ccc(O)cc12,0.9867,CN(CCNCCc1c[nH]c2ccc(O)cc12)CC1CCCN1,174,136
202,1,Amide coupling,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.9238,CN(CC(=O)N(Cc1ccccc1)Cc1c[nH]c2cc(Br)ccc12)CC1CCCN1,175,78
203,1,Pictet-Spengler cyclisation,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,NCCc1ccc(O)cc1,0.9203,CN(CC1=NCCc2ccc(O)cc21)CC1CCCN1,176,153
204,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.9144,CN(CCNc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12)CC1CCCN1,177,136
205,1,Amide coupling,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Fc1ccc2[nH]cc(CNC3CCC3)c2c1,0.8911,CN(CC(=O)N(Cc1c[nH]c2ccc(F)cc12)C1CCC1)CC1CCCN1,178,78
206,1,Benzimidazole formation (N-substituted),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.8781,CN(Cc1nc2cc(Br)ccc2n1Cc1c[nH]c2ccc(F)cc12)CC1CCCN1,179,185
207,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.8492,CN(CC(=O)O)CC1CCCN1CCCNCc1c[nH]c2ccc(F)cc12,180,139
208,1,Pictet-Spengler cyclisation,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,NCCc1c[nH]c2ccc(O)cc12,0.8037,CN(CC1=NCCc2c1[nH]c1ccc(O)cc21)CC1CCCN1,181,149
209,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,NCc1ccc(O)cc1,0.7868,CN(CCNCc1ccc(O)cc1)CC1CCCN1,182,136
210,1,Buchwald-Hartwig amination,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.7442,CN(CC(=O)O)CC1CCCN1c1ccc2c(CNCc3ccccc3)c[nH]c2c1,183,114
211,1,Buchwald-Hartwig amination,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.7301,CN(CC(=O)O)CC1CCCN1c1cccc(NCc2c[nH]c3ccc(Br)cc23)c1N,184,114
212,1,Pictet-Spengler cyclisation,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,COc1ccccc1CCN,0.7088,COc1cccc2c1CCN=C2CN(C)CC1CCCN1,185,153
213,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,N#Cc1ccc(O)c(N)c1,0.6653,CN(CCNc1cc(C#N)ccc1O)CC1CCCN1,186,136
214,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.6353,CN(CC(=O)O)CC1CCCN1CC(N)Cc1c[nH]c2ccccc12,187,139
215,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,NCc1c[nH]c2ccccc12,0.6061,CN(CCNCc1c[nH]c2ccccc12)CC1CCCN1,188,136
216,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,Nc1cccc2cc[nH]c12,0.5668,CN(CCNc1cccc2cc[nH]c12)CC1CCCN1,189,136
217,1,Direct acid -> amine (reductive),CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.5621,CN(CC(=O)O)CC1CCCN1CC1Cc2ccccc2CN1,190,139
218,1,Amide coupling,CN(CC(=O)O)CC1CCCN1,CN(CC(=O)O)C[C@H]1CCCN1,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.5582,CN(CC(=O)O)CC1CCCN1C(=O)C1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,191,79
220,1,Amide coupling,O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,2,N#Cc1ccc2[nH]cc(CNc3ccc(Br)cc3)c2c1,0.8527,N#Cc1ccc2[nH]cc(CN(C(=O)CNC3CCCNC3)c3ccc(Br)cc3)c2c1,192,78
221,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,NCc1cccc(O)c1,0.8432,Oc1cccc(CNCCNC2CCCNC2)c1,193,136
222,1,Buchwald-Hartwig amination,O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.803,O=C(O)CN(c1ccc2c(CNCc3ccccc3)c[nH]c2c1)C1CCCNC1,194,114
223,1,Buchwald-Hartwig amination,O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.7856,Nc1cc(N(CC(=O)O)C2CCCNC2)ccc1NCc1c[nH]c2ccc(F)cc12,195,114
224,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7773,NC(Cc1c[nH]c2ccccc12)CN(CC(=O)O)C1CCCNC1,196,139
225,1,Pictet-Spengler cyclisation,O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,NCCc1ccc(O)cc1,0.7202,Oc1ccc2c(c1)C(CNC1CCCNC1)=NCC2,197,153
226,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,Nc1ccccc1O,0.6554,Oc1ccccc1NCCNC1CCCNC1,198,136
227,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,NCc1c[nH]c2ccccc12,0.5826,c1ccc2c(CNCCNC3CCCNC3)c[nH]c2c1,199,136
228,1,Amide coupling,O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.5789,O=C(CNC1CCCNC1)Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,200,76
229,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.5742,O=C(O)CN(CC1Cc2ccccc2CN1)C1CCCNC1,201,139
230,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.57,O=C(O)C(Cc1ccc(O)cc1)NCCNC1CCCNC1,202,136
231,1,Reductive amination (ketone),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.5495,NCCN1CCN(c2cc(F)ccc2C(CCl)N(CC(=O)O)C2CCCNC2)CC1,203,74
232,1,Direct acid -> amine (reductive),O=C(O)CNC1CCCNC1,O=C(O)CNC1CCCNC1,1,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.5393,O=C(O)CCN(CCNC1CCCNC1)Cc1c[nH]c2ccc(F)cc12,204,138
