recorded_amine,score_amine,counterfactual_amide,score_amide
CNCCNc1c(O)cccc1C(=O)O,0.059492,CNCC(=O)Nc1c(O)cccc1C(=O)O,0.010949
CCCN(C[C@@H](N)CC)c1cc(OC)ccc1NCCN,0.037093,CCCN(C[C@@H](N)CC)c1cc(OC)ccc1NC(=O)CN,0.005719
NCCCN(C[C@@H]1CCCN1)c1cccc(Br)c1O,0.131703,NCCC(=O)N(C[C@@H]1CCCN1)c1cccc(Br)c1O,0.207588
CC[C@H](C)[C@H](CN(CCBr)CCc1ccccc1OC)N(Cc1c[nH]c2ccc(Br)cc12)CC1CCN1,0.973565,CC[C@H](C)[C@H](CN(CCc1ccccc1OC)C(=O)CBr)N(Cc1c[nH]c2ccc(Br)cc12)CC1CCN1,0.665801
OC1CCN(CCC[C@H](CNC2CC2)NCc2ccc(F)cc2)CC1,0.95927,O=C(N[C@H](CCCN1CCC(O)CC1)CNC1CC1)c1ccc(F)cc1,0.960602
NCCN(CCc1c[nH]c2ccccc12)CCN(Cc1c[nH]c2ccc(F)cc12)C1CCNCC1,0.900227,NCC(=O)N(CCc1c[nH]c2ccccc12)CCN(Cc1c[nH]c2ccc(F)cc12)C1CCNCC1,0.769602
O=C(O)[C@@H](CS)NCC1CCNCC1,0.00823,O=C(N[C@H](CS)C(=O)O)C1CCNCC1,0.001975
CC(C)C[C@@H](NCC1CCN1)C(=O)Oc1cc(F)c(F)cc1N,0.097625,CC(C)C[C@@H](N)C(=O)Oc1cc(F)c(F)cc1NC(=O)C1CCN1,0.008927
c1cc(NC[C@H]2CCCN(CC3CCN3)C2)c2[nH]ccc2c1,0.82416,O=C(Nc1cccc2cc[nH]c12)[C@H]1CCCN(CC2CCN2)C1,0.261301
Nc1ccc(Br)cc1N(CC1CCN1)C1CCCN(C(CCl)c2ccc(F)cc2)C1,0.989559,Nc1ccc(Br)cc1N(C(=O)C1CCN1)C1CCCN(C(CCl)c2ccc(F)cc2)C1,0.92704
COc1ccccc1CCNCCC[C@@H](NCc1c[nH]c2cc(Br)ccc12)C(=O)O,0.940736,COc1ccccc1CCNC(=O)CC[C@@H](NCc1c[nH]c2cc(Br)ccc12)C(=O)O,0.082852
N[C@@H](CCNc1ccc(Br)cc1O)CN1CCC[C@@H]1CN(CCc1ccncc1)Cc1ccnc(F)c1,0.739121,N[C@@H](CC(=O)Nc1ccc(Br)cc1O)CN1CCC[C@@H]1CN(CCc1ccncc1)Cc1ccnc(F)c1,0.607352
C[C@@H](CNc1cc(Br)cc(C#N)c1)N(CC1CNC1)C1CCNC1,0.195033,C[C@@H](CN(C(=O)C1CNC1)c1cc(Br)cc(C#N)c1)NC1CCNC1,0.098679
Sc1ccccc1NC[C@H]1CCCN1C1CCNC1,0.715495,O=C(Nc1ccccc1S)[C@H]1CCCN1C1CCNC1,0.133552
N[C@@H](CCCN1CCC1C(=O)O)CNc1cc(Br)ccc1O,0.214342,N[C@@H](CCCN1CCC1C(=O)Nc1cc(Br)ccc1O)C(=O)O,0.026718
COc1ccccc1CCNCC(CBr)N(CC1CCNCC1)c1ccc(Br)cc1O,0.979189,COc1ccccc1CCNC(=O)C(CBr)N(CC1CCNCC1)c1ccc(Br)cc1O,0.799591
CC[C@H](N)CN(C[C@@H](N)CS)c1cc(Br)ccc1O,0.04414,CC[C@H](N)C(=O)N(C[C@@H](N)CS)c1cc(Br)ccc1O,0.031722
C[C@@H](CN(Cc1ccc(F)cc1)C12CC(C1)C2)NC[C@@H]1CCCN1,0.425887,C[C@@H](CN(Cc1ccc(F)cc1)C12CC(C1)C2)NC(=O)[C@@H]1CCCN1,0.130333
COc1ccccc1CN(CCCNCc1cccc(F)c1N)C1CN(Cc2c[nH]c3ccccc23)C1,0.898633,COc1ccccc1CN(CCCNC(=O)c1cccc(F)c1N)C1CN(Cc2c[nH]c3ccccc23)C1,0.668528
CCC1N[C@H](CN(CC2CCN2)C2CCC2)Cc2ccc(O)cc21,0.880956,CCC1N[C@H](CN(C(=O)C2CCN2)C2CCC2)Cc2ccc(O)cc21,0.084194
CNCCN(CC1(N)CCC1)c1ccc(Br)cc1O,0.072914,CNCC(=O)N(CC1(N)CCC1)c1ccc(Br)cc1O,0.083352
C[C@H](CN(Cc1ccc(O)cc1)CC1(N)CCC1)N(Cc1c[nH]c2ccc(Br)cc12)CC1CCN1,0.984026,C[C@H](CN(Cc1ccc(O)cc1)CC1(N)CCC1)N(Cc1c[nH]c2ccc(Br)cc12)C(=O)C1CCN1,0.926891
COc1cccc2c1CCN(CC(CBr)N(CCN)CCCCN)C2c1c[nH]c2ccc(F)cc12,0.997375,COc1cccc2c1CCN(CC(CBr)N(CCCCN)C(=O)CN)C2c1c[nH]c2ccc(F)cc12,0.926414
CC[C@H](N)CN1CCC(Nc2cccc(Br)c2N)C1,0.213724,CC[C@H](N)C(=O)N(c1cccc(Br)c1N)C1CCNC1,0.066063
N[C@H](CCCN1CC(CNc2cccc3cc[nH]c23)C1)CNCCc1ccccc1Br,0.975144,N[C@H](CCCN1CC(CNc2cccc3cc[nH]c23)C1)C(=O)NCCc1ccccc1Br,0.808603
CC[C@@H](CN1CCCCC1)NCCNc1ccccc1O,0.5,CC[C@H](NCCNc1ccccc1O)C(=O)N1CCCCC1,0.006889
CN(CCNc1ccccn1)C[C@H]1CCCN1,0.270719,CN(CCNc1ccccn1)C(=O)[C@H]1CCCN1,0.010372
C=CCN(CC=O)CC[C@@H](N)CN1CCc2c(OC)cccc2C1c1c[nH]c2ccc(Br)cc12,0.995308,C=CCN(CC[C@@H](N)CN1CCc2c(OC)cccc2C1c1c[nH]c2ccc(Br)cc12)C(=O)C=O,0.873735
N[C@H](Cc1c[nH]c2ccccc12)CN(CC1CCN1CC=O)c1cc(F)ccc1O,0.991177,N[C@H](Cc1c[nH]c2ccccc12)CN(CC1CCN1C(=O)C=O)c1cc(F)ccc1O,0.31904
Nc1ccc(CN2CC(CNCCc3c[nH]c4ccccc34)C2)cc1Br,0.995293,Nc1ccc(C(=O)N(CCc2c[nH]c3ccccc23)CC2CNC2)cc1Br,0.629523
CNCCN(CCc1c[nH]c2ccccc12)C[C@H](N)Cc1ccc(O)cc1,0.984335,CNCC(=O)N(CCc1c[nH]c2ccccc12)C[C@H](N)Cc1ccc(O)cc1,0.688285
COCCNCc1cccc(F)c1N(CCc1ccccc1OC)C1CCNC1,0.901352,COCCNC(=O)c1cccc(F)c1N(CCc1ccccc1OC)C1CCNC1,0.722365
NCCCN1CCCC(N2CCc3c(Br)cccc3C2c2ccnc(Br)c2)C1,0.995899,NCCC(=O)N1CCCC(N2CCc3c(Br)cccc3C2c2ccnc(Br)c2)C1,0.599017
COc1cccc(CNCC[C@H](N)C(=O)O)c1,0.010919,COc1cccc(CNC(=O)C[C@H](N)C(=O)O)c1,0.000636
COCCN(CC=O)Cc1ccc(N(Cc2ccc(F)cc2)CC2CCN2)c(Br)c1,0.671307,COCCN(CC=O)Cc1ccc(N(CC2CCN2)C(=O)c2ccc(F)cc2)c(Br)c1,0.627019
OB(O)c1cccc(NCC2CN(C[C@@H]3CCCN3)C2)c1,0.115464,O=C([C@@H]1CCCN1)N(CC1CNC1)c1cccc(B(O)O)c1,0.180157
CC[C@H](N)CN1CCC(N(Cc2c[nH]c3ccc(Br)cc23)c2cc(C#N)ccc2O)CC1,0.996636,CC[C@H](N)C(=O)N1CCC(N(Cc2c[nH]c3ccc(Br)cc23)c2cc(C#N)ccc2O)CC1,0.403207
Fc1ccc(CN(CC2CCN2C2CCCNC2)c2ccnc3ccccc23)cc1,0.983403,O=C(c1ccc(F)cc1)N(CC1CCN1C1CCCNC1)c1ccnc2ccccc12,0.917182
Oc1ccc2c(c1)C(c1ncc[nH]1)N[C@@H](CNCCc1ccccc1Br)C2,0.933116,O=C(NCCc1ccccc1Br)[C@H]1Cc2ccc(O)cc2C(c2ncc[nH]2)N1,0.115171
CC(CCl)N(C)CCNc1cccc(Br)c1N,0.017242,CC(CCl)N(C)CC(=O)Nc1c(N)cccc1Br,0.000571
N[C@@H](CCNCCNCCC(=O)O)C(=O)O,0.016575,NCCC(=O)N[C@@H](CCNCC(=O)O)C(=O)O,0.004257
CN(CCN1CCC[C@@H](O)C1)C[C@@H](N)Cc1c[nH]c2ccccc12,0.345601,CN(CCN1CCC[C@@H](O)C1)C(=O)[C@@H](N)Cc1c[nH]c2ccccc12,0.429747
C=CCNCCCN1CCC1CNc1cc(Br)cc(C#N)c1,0.654334,C=CC(=O)NCCCN1CCC1CNc1cc(Br)cc(C#N)c1,0.346498
N#Cc1ccc(O)c(N(CC2CCN2)C[C@H]2CCCN2)c1,0.212414,N#Cc1ccc(O)c(N(CC2CCN2)C(=O)[C@H]2CCCN2)c1,0.235568
CC(CCl)NCCCN1CCCC(=O)C1,0.03059,CC(CCl)NCCC(=O)N1CCCC(=O)C1,0.001901
Oc1ccc(Br)cc1NCC1(NC[C@@H]2CCCN2)CCC1,0.28559,O=C(Nc1cc(Br)ccc1O)C1(NC[C@@H]2CCCN2)CCC1,0.073135
CNCCN(Cc1cccc(OC)c1)C[C@@H](N)CCCN,0.183591,CNCC(=O)N(Cc1cccc(OC)c1)C[C@@H](N)CCCN,0.027774
COc1cccc(CNC[C@@H](CO)NCCN)c1,0.139208,COc1cccc(CNC(=O)[C@@H](CO)NCCN)c1,0.009865
COc1ccc(O)c(NCCC[C@H](N)CN(CCc2c[nH]c3ccccc23)CC2CCN2)c1,0.980108,COc1ccc(O)c(N(CCC[C@H](N)CNCCc2c[nH]c3ccccc23)C(=O)C2CCN2)c1,0.642613
O=C(O)C[C@H](CNC1CC1)NCc1cccc(Br)c1,0.026769,O=C(C[C@@H](NCc1cccc(Br)c1)C(=O)O)NC1CC1,0.000945
COc1ccccc1CCN(CCCN1CCC[C@H]1c1nc2cc(Br)ccc2o1)C[C@@H](N)CC(=O)O,0.964593,COc1ccccc1CCN(CCCN1CCC[C@H]1c1nc2cc(Br)ccc2o1)C(=O)C[C@H](N)C(=O)O,0.531984
NCCN(CCc1c[nH]c2ccccc12)C1CN(C(CCl)c2ccc(F)cc2)C1,0.996043,NCC(=O)N(CCc1c[nH]c2ccccc12)C1CN(C(CCl)c2ccc(F)cc2)C1,0.916546
NCCCN1CCC1C(=O)OCCCNC(=O)Nc1ccccc1S,0.025972,NCCC(=O)N1CCC1C(=O)OCCCNC(=O)Nc1ccccc1S,0.001226
CC(C)(NCc1ccc(N)c(Br)c1)C(=O)O,0.005366,CC(C)(N)C(=O)Nc1ccc(C(=O)O)cc1Br,0.000217
