tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rgfn_seh,hub_batching,52,52,154,4,7.537268161773682,O=C(O)c1ccc2oc(-c3ccc(-c4cccc(CNCCc5c[nH]c6ccccc56)c4)cc3)nc2c1,c1cc(CNCCc2c[nH]c3ccccc23)cc(-c2ccc(-c3nc4cc(CNC56CC(C5)C6)ccc4o3)cc2)c1
rgfn_seh,hub_batching,53,53,155,1,7.25212287902832,O=C(O)c1ccc2oc(-c3ccc(-c4cccc(CNCCc5c[nH]c6ccccc56)c4)cc3)nc2c1,O=C(O)c1ccc2oc(-c3ccc(-c4cccc(CNCCc5cn(CC6CC6)c6ccccc56)c4)cc3)nc2c1
rgfn_seh,hub_batching,54,54,159,4,7.161741256713867,CC1(C)OB(c2ccc(NCc3ccc4oc(-c5ccc6oc(-c7ccncc7F)nc6c5)nc4c3)nc2)OC1(C)C,COc1ncccc1-c1ccc(NCc2ccc3oc(-c4ccc5oc(-c6ccncc6F)nc5c4)nc3c2)nc1
rgfn_seh,hub_batching,55,55,163,4,7.698118686676025,Nc1ccc(-c2cccc(-c3nc4ccc(-c5cccnc5)cc4[nH]3)c2)cc1N,Nc1cc(-c2cccc(-c3nc4ccc(-c5cccnc5)cc4[nH]3)c2)ccc1NCC1CCN1
rgfn_seh,hub_batching,56,56,164,1,7.64204740524292,Nc1ccc(-c2cccc(-c3nc4ccc(-c5cccnc5)cc4[nH]3)c2)cc1N,c1cncc(-c2ccc3nc(-c4cccc(-c5ccc6[nH]c(C7Cc8ccccc8CN7)nc6c5)c4)[nH]c3c2)c1
rgfn_seh,hub_batching,57,57,165,1,7.162890911102295,Nc1ccc(-c2cccc(-c3nc4ccc(-c5cccnc5)cc4[nH]3)c2)cc1N,Nc1ccc(-c2cccc(-c3nc4ccc(-c5cccnc5)cc4[nH]3)c2)cc1NC(=O)NCc1ccc(C(F)(F)F)cc1
rgfn_seh,hub_batching,58,58,166,1,7.061930179595947,Nc1ccc(-c2cccc(-c3nc4ccc(-c5cccnc5)cc4[nH]3)c2)cc1N,NC(c1ccccc1)c1nc2ccc(-c3cccc(-c4nc5ccc(-c6cccnc6)cc5[nH]4)c3)cc2[nH]1
rgfn_seh,hub_batching,59,59,169,3,7.032967567443848,Nc1ccc(-c2cc(NC(=O)c3ccc(S(=O)(=O)F)cc3)[nH]n2)cn1,O=C(Nc1cc(-c2ccc(NCC3Cc4ccccc4CN3)nc2)n[nH]1)c1ccc(S(=O)(=O)F)cc1
rgfn_seh,hub_batching,60,60,173,4,7.331150531768799,C#CCNC(=O)c1cc(-c2ccc3nc(-c4ccncc4F)[nH]c3c2)ccc1F,O=C(NCc1cn(CC2CC2)nn1)c1cc(-c2ccc3nc(-c4ccncc4F)[nH]c3c2)ccc1F
rgfn_seh,hub_batching,61,61,177,4,7.317217826843262,Nc1ccc(Br)cc1NC(=O)Nc1ccc(-c2csc(NC3CC3)n2)cn1,O=C(Nc1ccc(-c2csc(NC3CC3)n2)cn1)Nc1cc(Br)ccc1NCC1Cc2ccccc2CN1
