seed,generator,target,cell,arm,gate,gate_matches_run,budget_rxns,modes_at_R,used_rxns,reward_gen_calls,status,n_modes_available,rxn_per_mode
43,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,150,122,150,11445,budget-binding,300,1.23
43,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,200,164,196,13125,budget-binding,300,1.195
43,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,50,10,50,0,budget-binding,300,5.0
43,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,100,20,100,0,budget-binding,300,5.0
43,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,150,30,150,0,budget-binding,300,5.0
43,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,200,40,200,0,budget-binding,300,5.0
43,rgfn,clpp,rgfn_clpp,hub_batching,-8.0,True,50,36,50,6539,budget-binding,300,1.389
43,rgfn,clpp,rgfn_clpp,hub_batching,-8.0,True,100,66,100,14338,budget-binding,300,1.515
43,rgfn,clpp,rgfn_clpp,hub_batching,-8.0,True,150,93,147,20984,budget-binding,300,1.581
43,rgfn,clpp,rgfn_clpp,hub_batching,-8.0,True,200,119,197,29145,budget-binding,300,1.655
43,rgfn,clpp,rgfn_clpp,best_candidate,-8.0,True,50,14,49,0,budget-binding,300,3.5
43,rgfn,clpp,rgfn_clpp,best_candidate,-8.0,True,100,28,98,0,budget-binding,300,3.5
43,rgfn,clpp,rgfn_clpp,best_candidate,-8.0,True,150,41,147,0,budget-binding,300,3.585
43,rgfn,clpp,rgfn_clpp,best_candidate,-8.0,True,200,55,199,0,budget-binding,300,3.618
43,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,50,43,50,2965,budget-binding,300,1.163
43,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,100,84,100,8483,budget-binding,300,1.19
43,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,150,119,149,14414,budget-binding,300,1.252
43,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,200,158,200,21148,budget-binding,300,1.266
43,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,50,13,50,0,budget-binding,300,3.846
43,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,100,26,99,0,budget-binding,300,3.808
43,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,150,39,149,0,budget-binding,300,3.821
43,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,200,52,200,0,budget-binding,300,3.846
43,rgfn,seh,rgfn_seh,hub_batching,5.0,True,50,27,50,6863,budget-binding,300,1.852
43,rgfn,seh,rgfn_seh,hub_batching,5.0,True,100,50,100,12057,budget-binding,300,2.0
