set,cutoff,n_above_cutoff,frac_above_cutoff,n_scored,n_replicates,subsampled,mean_pairwise_similarity,mean_pairwise_similarity_sd,modes_per_mol,modes_per_mol_sd,butina_per_mol,butina_per_mol_sd,scaffolds_per_mol,scaffolds_per_mol_sd
sample,7.1,19933,0.7646246499673942,2500,3,True,0.17917953629189734,0.0014547138610030565,0.916,0.0058103356185335514,0.9073333333333333,0.003002221399786056,0.9962666666666666,0.0006110100926607599
sample,7.2,18663,0.715907783190763,2500,3,True,0.18139872432150184,0.0013121174887027252,0.9087999999999999,0.0048497422611928805,0.8986666666666666,0.0025716402029314247,0.9961333333333333,0.0004618802153516497
sample,7.3,17184,0.6591737312516782,2500,3,True,0.1839886376047323,0.001027879098498752,0.8969333333333335,0.004314317249963591,0.8856,0.0017435595774162429,0.9954666666666666,0.0012220201853215924
sample,7.4,15496,0.59442249415014,2500,3,True,0.18722042544030207,0.0010207507819356744,0.8829333333333333,0.007770027884977854,0.8670666666666667,0.006416645021608477,0.9949333333333333,0.0012220201853215319
sample,7.5,13601,0.5217307913613871,2500,3,True,0.1906260387345713,0.0011330713186845278,0.8618666666666667,0.005460158727851556,0.8438666666666667,0.004406056437828897,0.9949333333333333,0.0012220201853215319
sample,7.6,11538,0.44259465265257586,2500,3,True,0.19511644037236697,0.0014943307303214417,0.8354666666666667,0.007433258594542037,0.8161333333333333,0.007114304838375524,0.9944000000000001,0.0014422205101856061
sample,7.7,9357,0.35893206490467605,2500,3,True,0.20044524425961593,0.0021863309069012344,0.7963999999999999,0.012942951749890776,0.7734666666666667,0.010630772941481428,0.9933333333333333,0.002444040370643124
sample,7.8,7070,0.2712033449691204,2500,3,True,0.20587992020887516,0.001306804083764599,0.7325333333333334,0.015285723186468257,0.7042666666666667,0.0157497089920206,0.992,0.0024979991993593774
sample,7.9,4837,0.18554605086501208,2500,3,True,0.21405867059536274,7.497781780059558e-05,0.6446666666666666,0.009263548636096944,0.6125333333333334,0.01121665428429231,0.9917333333333334,0.0016165807537309664
sample,8.0,2821,0.1082128198243124,2500,3,True,0.2250771705422544,0.00041275769680840533,0.5270666666666667,0.004006661120351103,0.49639999999999995,0.004613025037868311,0.9941333333333334,0.00023094010767582486
enumerated,1.0,604626,0.9996461874214668,2500,3,True,0.14587903965991858,0.001074910542966384,0.9797333333333333,0.0012220201853215319,0.9782666666666667,0.0016653327995728917,0.9677333333333333,0.0030287511177601056
enumerated,2.0,603811,0.9982987236293895,2500,3,True,0.14594881906452464,0.0010903875125241403,0.9797333333333333,0.0012220201853215319,0.9782666666666667,0.0016653327995728917,0.9677333333333333,0.0030287511177601056
enumerated,3.0,602196,0.9956285959923286,2500,3,True,0.14606182897523137,0.0010708807574249823,0.9797333333333333,0.0012220201853215319,0.9782666666666667,0.0016653327995728917,0.9678666666666667,0.0032331615074619327
enumerated,4.0,587064,0.97061040936446,2500,3,True,0.14700160105998938,0.0010537982572440686,0.9790666666666668,0.0011547005383792525,0.9777333333333335,0.0016653327995729095,0.9737333333333332,0.00220302821891442
enumerated,4.1,583271,0.9643393294094306,2500,3,True,0.14728619901796472,0.001086430746114824,0.9788,0.0014422205101856061,0.9774666666666668,0.0018475208614067912,0.9744,0.0030199337741083055
enumerated,4.2,578686,0.9567588122478672,2500,3,True,0.14757434670043765,0.0012295957115046807,0.9789333333333333,0.001973153144926473,0.9776000000000001,0.002433105012119312,0.9763999999999999,0.0020784609690826803
enumerated,4.3,573198,0.9476853382712783,2500,3,True,0.14781067059234834,0.0012463293026506413,0.9792000000000001,0.00211660104885167,0.9780000000000001,0.0027712812921101546,0.9780000000000001,0.00211660104885167
enumerated,4.4,566969,0.9373867469082733,2500,3,True,0.14800902811150882,0.0011612024785232105,0.9790666666666666,0.0022030282189144535,0.9778666666666668,0.002893671255228067,0.9789333333333333,0.0018475208614067912
enumerated,4.5,559966,0.9258084782752464,2500,3,True,0.1483023061751628,0.0010266238764957355,0.9796,0.0017435595774162684,0.9784,0.0024331050121192753,0.9806666666666667,0.001973153144926473
enumerated,4.6,551833,0.9123619469611798,2500,3,True,0.14866841261446445,0.0009559654892942589,0.9785333333333334,0.0019731531449265105,0.9772,0.0024331050121192753,0.9815999999999999,0.0013856406460551415
