rank,hub,depth,n_children,n_effective,U_h,mean_Fhat,max_reward,median_reward,n_hits
27,O=C(Nc1cccc(B(O)O)c1)C1CCN1,1,5049,5049,39.062,62.078,8.251,5.464,150
28,O=C(O)c1ccc2[nH]c(C3CCN3)nc2c1,1,9487,9487,39.953,64.846,8.312,6.217,1988
29,O=C(O)c1ccc2oc(C3CCN3)nc2c1,1,9428,9428,37.814,65.768,8.311,6.282,2151
30,Brc1ccc2oc(C3CNC3)nc2c1,1,7139,7139,44.276,66.212,8.327,6.367,1697
31,NCc1cn(CC2CC2)c2ccccc12,1,3975,3975,28.487,62.944,8.356,7.132,2233
32,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,1,2549,2549,15.779,67.183,8.351,7.356,1926
33,O=C(Nc1ccc(Br)cc1)C1CNC1,1,7139,7139,31.853,66.823,8.351,6.426,1787
34,OB(O)c1ccc(-c2nnn(CC3CC3)n2)s1,1,218,218,27.677,65.906,8.225,7.694,147
35,O=C(Nc1ccc(Br)cc1)[C@@H]1Cc2ccccc2CN1,1,7139,7139,36.034,67.146,8.157,6.107,1419
36,O=C(O)c1ccc(CNC23CC(C2)C3)cc1,1,9428,9428,33.667,65.287,8.201,6.37,2291
37,O=C(Nc1cc(Br)n[nH]1)[C@H]1CCCNC1,1,7139,7139,54.573,65.589,8.148,6.387,1515
38,Brc1ccc(NC[C@@H]2Cc3ccccc3CN2)cc1,1,11968,11968,40.073,69.557,8.255,6.254,2332
39,N[C@@H](C(=O)Nc1ccc(B(O)O)cc1)c1ccccc1,1,4295,4295,36.748,59.141,8.17,5.331,148
40,OB(O)c1cccc(NCC2CNC2)c1,1,9878,9878,41.021,59.267,8.246,5.158,150
41,O=C(Nc1cccc(B(O)O)c1)C1CNC1,1,5049,5049,38.387,62.0,8.209,5.496,146
42,O=Cc1ccc(-c2cn(CC3CC3)cn2)cc1,2,424,424,60.541,62.182,8.24,6.69,156
43,OB(O)c1cccc(NCC2CCN2)c1,1,9878,9878,35.885,60.482,8.248,5.297,152
44,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,2,1209,1209,52.354,66.888,8.309,5.505,107
45,Nc1ccc2oc(C3CCN3)nc2c1,2,2210,2210,70.571,57.758,8.243,5.451,274
46,O=C(Nc1ccc(Br)cc1)NC1CC1,1,2308,2308,33.551,67.177,8.263,6.821,910
47,O=C(Nc1cccc2cc[nH]c12)C1CNC1,1,4890,4890,36.687,65.135,8.166,6.388,1174
48,OB(O)c1cccc(NCc2ccc3oc(C4CCN4)nc3c2)c1,2,2302,2302,42.548,65.067,8.188,5.072,90
49,O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CNC1,2,2237,2237,43.895,67.532,8.351,6.228,367
50,O=C(O)c1ccc2nc([C@@H]3Cc4ccccc4CN3)oc2c1,1,9428,9428,51.049,66.588,8.203,6.271,2406
51,CC1(C)OB(c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)nc2)OC1(C)C,2,2302,2302,45.775,66.209,8.243,5.316,100
52,O=C(NC1CC1)c1cccc(B(O)O)c1,1,218,218,35.603,66.125,8.276,7.678,146
53,O=C(O)c1cccc2oc(C3CCN3)nc12,1,9428,9428,37.423,65.294,8.217,6.129,1704
54,Brc1cc(NCc2ccc3oc(C4CNC4)nc3c2)[nH]n1,2,2615,2615,50.28,64.982,8.17,5.941,333
55,O=C(NCc1c[nH]c2ccccc12)c1cccc(B(O)O)c1,1,277,277,48.777,64.554,8.135,7.358,143
56,Nc1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,2,2210,2210,58.667,63.812,8.291,6.261,486
57,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,1,9487,9487,35.724,66.37,8.396,6.441,2425
58,Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,1,9074,9074,24.11,70.631,8.301,6.965,4401
59,O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1,1,9487,9487,32.704,66.3,8.385,6.422,2485
60,OB(O)c1cccc(C2=NCCc3ccccc32)c1,1,218,218,29.937,67.061,8.204,7.783,150
61,O=C(O)c1ccc(-c2nnn(CC3CC3)n2)nc1,1,4597,4597,25.745,66.494,8.346,7.031,2362
62,Nc1cccc(-c2cc(NC[C@@H]3Cc4ccccc4CN3)[nH]n2)c1,2,3303,3303,55.298,62.457,8.303,6.117,716
63,Brc1ccc2[nH]c(C3CNC3)nc2c1,1,7198,7198,47.935,64.933,8.343,6.273,1509
64,O=Cc1c[nH]c2ccc(-c3nnn(CC4CC4)n3)cc12,1,2537,2537,78.641,67.758,8.275,6.905,1131
65,O=C(Nc1cccc2cc[nH]c12)C1CCN1,1,4890,4890,39.395,65.336,8.135,6.321,1115
66,O=C(O)[C@H]1CCCN(C(=O)C2CCN2)C1,1,9428,9428,58.416,63.75,8.264,6.147,1981
67,NCc1cn(Cc2ccc(-c3nc4ccc(C(=O)NC5CC5)cc4o3)cc2)c2ccccc12,3,728,728,36.704,65.73,8.377,7.055,391
68,O=C(Nc1cc(Br)n[nH]1)C1CNC1,1,7139,7139,37.5,63.977,8.311,6.3,1521
69,OB(O)c1cccc(NCc2ccc3oc(C4CNC4)nc3c2)c1,2,2302,2302,46.162,66.027,8.298,5.256,101
70,OB(O)c1ccc(NC[C@@H]2Cc3ccccc3CN2)cc1,1,9878,9878,49.058,67.376,8.24,5.541,175
71,ClCc1ccc(C2=NCCc3ccccc32)cc1,1,2549,2549,24.91,65.246,8.223,7.023,1327
72,O=C(O)c1ccc(-c2nnnn2CC2CC2)nc1,1,4597,4597,31.884,67.387,8.221,6.694,1523
73,OB(O)c1cccc(NCc2c[nH]c3ccc(-c4nnn(CC5CC5)n4)cc23)c1,2,1260,1260,47.294,70.964,8.275,5.379,79
74,Brc1ccc2nc(C3CNC3)[nH]c2c1,1,7198,7198,43.769,64.792,8.315,6.249,1456
75,NCCc1cn(Cc2cccc(-c3nnn(CC4CC4)n3)c2)c2ccccc12,2,1325,1325,73.382,66.516,8.166,6.667,435
